"id";"pesid";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_principal";"causa_acidente";"ordem_tipo_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"id_veiculo";"tipo_veiculo";"marca";"ano_fabricacao_veiculo";"tipo_envolvido";"estado_fisico";"idade";"sexo";"ilesos";"feridos_leves";"feridos_graves";"mortos";"latitude";"longitude";"regional";"delegacia";"uop"
99981;216325;2018-01-01;"segunda-feira";"01:15:00";"RS";386;134;"SARANDI";"Sim";"Ingestão de Álcool";1;"Colisao transversal";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Interseçao de vias";"Não";177645;"Caminhonete";"GM/MONTANA CONQUEST";2007;"Condutor";"Ileso";65;"Masculino";1;0;0;0;"-27.953636";"-52.916374";"SR-RS";"DEL9/14";"UOP01/RS"
99981;216327;2018-01-01;"segunda-feira";"01:15:00";"RS";386;134;"SARANDI";"Sim";"Ingestão de Álcool";1;"Colisao transversal";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Interseçao de vias";"Não";177646;"Automóvel";"RENAULT/SANDERO STEPWAY";2012;"Condutor";"Ileso";60;"Feminino";1;0;0;0;"-27.953636";"-52.916374";"SR-RS";"DEL9/14";"UOP01/RS"
99982;216320;2018-01-01;"segunda-feira";"00:20:00";"RS";293;151,7;"CANDIOTA";"Sim";"Falta de Atenção à Condução";1;"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Reta";"Não";177665;"Automóvel";"GM/KADETT GL";1994;"Condutor";"Lesões Graves";25;"Masculino";0;0;1;0;"-31.395214";"-53.78391174";"SR-RS";"DEL9/11";"UOP03/RS"
99984;216303;2018-01-01;"segunda-feira";"01:30:00";"RS";386;395,8;"TRIUNFO";"Sim";"Animais na Pista";1;"Atropelamento de Animal";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Não Informado";"Não";177642;"Camioneta";"FORD/ECOSPORT FSL 1.6";2015;"Condutor";"Ileso";66;"Masculino";1;0;0;0;"-29.72837503";"-51.6334194";"SR-RS";"DEL9/4";"UOP02/RS"
99990;216321;2018-01-01;"segunda-feira";"02:10:00";"RS";386;116,9;"SARANDI";"Sim";"Ingestão de Álcool";1;"Colisao frontal";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";177668;"Automóvel";"IMP/GM ASTRA GLS";1995;"Condutor";"Ileso";27;"Masculino";1;0;0;0;"-27.85375327";"-53.01505161";"SR-RS";"DEL9/14";"UOP01/RS"
99990;216322;2018-01-01;"segunda-feira";"02:10:00";"RS";386;116,9;"SARANDI";"Sim";"Ingestão de Álcool";1;"Colisao frontal";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";177667;"Ônibus";"MBENZ/MPOLO PARADISO R";2008;"Condutor";"Ileso";44;"Masculino";1;0;0;0;"-27.85375327";"-53.01505161";"SR-RS";"DEL9/14";"UOP01/RS"
100017;217406;2018-01-01;"segunda-feira";"03:30:00";"RS";392;638,7;"GUARANI DAS MISSOES";"Sim";"Desobediência às normas de trânsito pelo condutor";1;"Colisao transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";178449;"Caminhonete";"GM/S10 2.5 D 4X4";1999;"Condutor";"Ileso";27;"Masculino";1;0;0;0;"-28.14329739";"-54.50740635";"SR-RS";"DEL9/10";"UOP01/RS"
100017;217407;2018-01-01;"segunda-feira";"03:30:00";"RS";392;638,7;"GUARANI DAS MISSOES";"Sim";"Desobediência às normas de trânsito pelo condutor";1;"Colisao transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";178451;"Motocicleta";"HONDA/CG 150 TITAN ES";2006;"Condutor";"Lesões Graves";45;"Masculino";0;0;1;0;"-28.14329739";"-54.50740635";"SR-RS";"DEL9/10";"UOP01/RS"
100017;217413;2018-01-01;"segunda-feira";"03:30:00";"RS";392;638,7;"GUARANI DAS MISSOES";"Sim";"Desobediência às normas de trânsito pelo condutor";1;"Colisao transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";178449;"Caminhonete";"GM/S10 2.5 D 4X4";1999;"Passageiro";"Ileso";21;"Feminino";1;0;0;0;"-28.14329739";"-54.50740635";"SR-RS";"DEL9/10";"UOP01/RS"
100017;217412;2018-01-01;"segunda-feira";"03:30:00";"RS";392;638,7;"GUARANI DAS MISSOES";"Sim";"Desobediência às normas de trânsito pelo condutor";1;"Colisao transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";178451;"Motocicleta";"HONDA/CG 150 TITAN ES";2006;"Passageiro";"Lesões Leves";32;"Feminino";0;1;0;0;"-28.14329739";"-54.50740635";"SR-RS";"DEL9/10";"UOP01/RS"
100021;216367;2018-01-01;"segunda-feira";"06:20:00";"RS";287;241,5;"SANTA MARIA";"Sim";"Velocidade Incompatível";1;"Saída de leito carroçável";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Nublado";"Dupla";"Não Informado";"Sim";177707;"Automóvel";"I/CHEVROLET CLASSIC LS";2015;"Condutor";"Lesões Graves";17;"Masculino";0;0;1;0;"-29.70227485";"-53.79155159";"SR-RS";"DEL9/9";"UOP01/RS"
100024;216362;2018-01-01;"segunda-feira";"07:00:00";"RS";116;246,8;"SAO LEOPOLDO";"Sim";"Velocidade Incompatível";1;"Capotamento";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";177706;"Automóvel";"GM/CHEVETTE SL";1987;"Condutor";"Lesões Graves";34;"Masculino";0;0;1;0;"-29.7656177";"-51.15390804";"SR-RS";"DEL9/1";"UOP02/RS"
100032;216789;2018-01-01;"segunda-feira";"08:25:00";"RS";116;42,6;"VACARIA";"Sim";"Ultrapassagem Indevida";1;"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Sol";"Simples";"Curva";"Não";177990;"Automóvel";"FORD/FIESTA HA 1.6L TIAB";2015;"Passageiro";"Ileso";10;"Masculino";1;0;0;0;"-28.53493609";"-50.95900208";"SR-RS";"DEL9/5";"UOP03/RS"
100032;216788;2018-01-01;"segunda-feira";"08:25:00";"RS";116;42,6;"VACARIA";"Sim";"Ultrapassagem Indevida";1;"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Sol";"Simples";"Curva";"Não";177990;"Automóvel";"FORD/FIESTA HA 1.6L TIAB";2015;"Condutor";"Ileso";39;"Masculino";1;0;0;0;"-28.53493609";"-50.95900208";"SR-RS";"DEL9/5";"UOP03/RS"
100045;218539;2018-01-01;"segunda-feira";"06:30:00";"RS";471;506,5;"RIO GRANDE";"Sim";"Condutor Dormindo";1;"Saída de leito carroçável";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Chuva";"Simples";"Reta";"Não";177719;"Automóvel";"GM/KADETT LITE";1994;"Condutor";"Lesões Leves";62;"Masculino";0;1;0;0;"-32.43103576";"-52.56565856";"SR-RS";"DEL9/7";"UOP02/RS"
