"id";"pesid";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_principal";"causa_acidente";"ordem_tipo_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"id_veiculo";"tipo_veiculo";"marca";"ano_fabricacao_veiculo";"tipo_envolvido";"estado_fisico";"idade";"sexo";"ilesos";"feridos_leves";"feridos_graves";"mortos";"latitude";"longitude";"regional";"delegacia";"uop"
182223;402130;2019-01-01;"terça-feira";"02:15:00";"RS";386;73,7;"BOA VISTA DAS MISSOES";"Não";"Falta de Atenção à Condução";1;"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Curva";"Sim";324872;"Automóvel";"FORD/FIESTA FLEX";2011;"Condutor";"Lesões Leves";40;"Masculino";0;1;0;0;"-27.693541";"-53.300945";"SR-RS";"DEL08";"UOP02/RS"
182223;402132;2019-01-01;"terça-feira";"02:15:00";"RS";386;73,7;"BOA VISTA DAS MISSOES";"Não";"Falta de Atenção à Condução";1;"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Curva";"Sim";324872;"Automóvel";"FORD/FIESTA FLEX";2011;"Passageiro";"Lesões Leves";36;"Feminino";0;1;0;0;"-27.693541";"-53.300945";"SR-RS";"DEL08";"UOP02/RS"
182223;402127;2019-01-01;"terça-feira";"02:15:00";"RS";386;73,7;"BOA VISTA DAS MISSOES";"Não";"Falta de Atenção à Condução";1;"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Curva";"Sim";324871;"Automóvel";"GM/CORSA SUPER";2000;"Passageiro";"Lesões Graves";36;"Feminino";0;0;1;0;"-27.693541";"-53.300945";"SR-RS";"DEL08";"UOP02/RS"
182223;402124;2019-01-01;"terça-feira";"02:15:00";"RS";386;73,7;"BOA VISTA DAS MISSOES";"Não";"Falta de Atenção à Condução";1;"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Curva";"Sim";324871;"Automóvel";"GM/CORSA SUPER";2000;"Condutor";"Lesões Graves";52;"Masculino";0;0;1;0;"-27.693541";"-53.300945";"SR-RS";"DEL08";"UOP02/RS"
182253;402722;2019-01-01;"terça-feira";"03:50:00";"RS";470;238,4;"CARLOS BARBOSA";"Sim";"Ingestão de Álcool";1;"Saída de leito carroçável";"Sem Vítimas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Curva";"Não";324920;"Caminhonete";"FIAT/STRADA ADVENTURE CD";2013;"Condutor";"Ileso";34;"Masculino";1;0;0;0;"-29.33808874";"-51.50475475";"SR-RS";"DEL9/6";"UOP01/RS"
182261;403293;2019-01-01;"terça-feira";"08:50:00";"RS";290;477,2;"ROSARIO DO SUL";"Não";"Não guardar distância de segurança";1;"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta";"Não";324935;"Automóvel";"GM/MONZA SL";1988;"Condutor";"Ileso";61;"Masculino";1;0;0;0;"-30.240948";"-54.888885";"SR-RS";"DEL9/11";"UOP02/RS"
182261;403292;2019-01-01;"terça-feira";"08:50:00";"RS";290;477,2;"ROSARIO DO SUL";"Não";"Não guardar distância de segurança";1;"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta";"Não";324934;"Caminhonete";"VW/SAVEIRO GL 1.8";1995;"Passageiro";"Lesões Leves";25;"Masculino";0;1;0;0;"-30.240948";"-54.888885";"SR-RS";"DEL9/11";"UOP02/RS"
182261;403291;2019-01-01;"terça-feira";"08:50:00";"RS";290;477,2;"ROSARIO DO SUL";"Não";"Não guardar distância de segurança";1;"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta";"Não";324934;"Caminhonete";"VW/SAVEIRO GL 1.8";1995;"Condutor";"Ileso";30;"Masculino";1;0;0;0;"-30.240948";"-54.888885";"SR-RS";"DEL9/11";"UOP02/RS"
182272;402285;2019-01-01;"terça-feira";"10:15:00";"RS";290;500,4;"ROSARIO DO SUL";"Sim";"Condutor Dormindo";3;"Colisão com objeto estático";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";324991;"Motocicleta";"HONDA/NXR150 BROS ES";2012;"Condutor";"Óbito";56;"Masculino";0;0;0;1;"-30.18096";"-55.103222";"SR-RS";"DEL9/11";"UOP02/RS"
182272;402656;2019-01-01;"terça-feira";"10:15:00";"RS";290;500,4;"ROSARIO DO SUL";"Sim";"Condutor Dormindo";3;"Colisão com objeto estático";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";324992;"Automóvel";"VW/GOL 1.0";2007;"Passageiro";"Lesões Leves";46;"Masculino";0;1;0;0;"-30.18096";"-55.103222";"SR-RS";"DEL9/11";"UOP02/RS"
182272;402653;2019-01-01;"terça-feira";"10:15:00";"RS";290;500,4;"ROSARIO DO SUL";"Sim";"Condutor Dormindo";3;"Colisão com objeto estático";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";324992;"Automóvel";"VW/GOL 1.0";2007;"Condutor";"Lesões Graves";57;"Feminino";0;0;1;0;"-30.18096";"-55.103222";"SR-RS";"DEL9/11";"UOP02/RS"
182295;404281;2019-01-01;"terça-feira";"13:00:00";"RS";101;41;"TRES FORQUILHAS";"Não";"Não guardar distância de segurança";2;"Capotamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";324973;"Automóvel";"FIAT/UNO MILLE ECONOMY";2011;"Passageiro";"Lesões Leves";35;"Feminino";0;1;0;0;"-29.542553";"-50.031525";"SR-RS";"DEL9/3";"UOP03/RS"
182295;404301;2019-01-01;"terça-feira";"13:00:00";"RS";101;41;"TRES FORQUILHAS";"Não";"Não guardar distância de segurança";2;"Capotamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";324973;"Automóvel";"FIAT/UNO MILLE ECONOMY";2011;"Testemunha";"Não Informado";NA;"Não Informado";0;0;0;0;"-29.542553";"-50.031525";"SR-RS";"DEL9/3";"UOP03/RS"
182295;404278;2019-01-01;"terça-feira";"13:00:00";"RS";101;41;"TRES FORQUILHAS";"Não";"Não guardar distância de segurança";2;"Capotamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";324973;"Automóvel";"FIAT/UNO MILLE ECONOMY";2011;"Condutor";"Ileso";40;"Masculino";1;0;0;0;"-29.542553";"-50.031525";"SR-RS";"DEL9/3";"UOP03/RS"
182316;402361;2019-01-01;"terça-feira";"15:15:00";"RS";101;8;"TORRES";"Não";"Velocidade Incompatível";3;"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";325039;"Caminhão-trator";"SCANIA/R124 GA6X4NZ 420";2004;"Condutor";"Ileso";28;"Masculino";1;0;0;0;"-29.360483";"-49.807865";"SR-RS";"DEL9/3";"UOP03/RS"
