"id";"pesid";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_principal";"causa_acidente";"ordem_tipo_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"id_veiculo";"tipo_veiculo";"marca";"ano_fabricacao_veiculo";"tipo_envolvido";"estado_fisico";"idade";"sexo";"ilesos";"feridos_leves";"feridos_graves";"mortos";"latitude";"longitude";"regional";"delegacia";"uop"
182217;403901;2019-01-01;"terca-feira";"01:30:00";"MS";163;721,5;"COXIM";"Nao";"Ingestao de alcool";1;"Atropelamento de Animal";"Sem Vitimas";"Plena Noite";"Crescente";"Ceu Claro";"Simples";"Reta";"Nao";324893;"Automóvel";"GM/CELTA 4P SPIRIT";2008;"Condutor";"Nao Informado";NA;"Nao Informado";0;0;0;0;"-18.575739";"-54.76353";"SR-MS";"DEL3/6";"UOP01/MS"
182226;402917;2019-01-01;"terca-feira";"02:10:00";"SP";101;39,5;"UBATUBA";"Sim";"Ingestao de alcool";1;"Colisao frontal";"Com Vitimas Feridas";"Plena Noite";"Decrescente";"Ceu Claro";"Simples";"Reta";"Sim";324890;"Caminhonete";"FIAT/STRADA ADVENTURE CD";2012;"Condutor";"Lesoes Leves";34;"Masculino";0;1;0;0;"-23.41331965";"-45.03313065";"SR-SP";"DEL6";"UOP03/SP"
182226;402919;2019-01-01;"terca-feira";"02:10:00";"SP";101;39,5;"UBATUBA";"Sim";"Ingestao de alcool";1;"Colisao frontal";"Com Vitimas Feridas";"Plena Noite";"Decrescente";"Ceu Claro";"Simples";"Reta";"Sim";324890;"Caminhonete";"FIAT/STRADA ADVENTURE CD";2012;"Passageiro";"Lesoes Leves";23;"Feminino";0;1;0;0;"-23.41331965";"-45.03313065";"SR-SP";"DEL6";"UOP03/SP"
182226;402887;2019-01-01;"terca-feira";"02:10:00";"SP";101;39,5;"UBATUBA";"Sim";"Ingestao de alcool";1;"Colisao frontal";"Com Vitimas Feridas";"Plena Noite";"Decrescente";"Ceu Claro";"Simples";"Reta";"Sim";324889;"Automóvel";"CITROEN/C3 AIRC TENDANCE";2014;"Condutor";"Lesoes Leves";38;"Masculino";0;1;0;0;"-23.41331965";"-45.03313065";"SR-SP";"DEL6";"UOP03/SP"
182226;402915;2019-01-01;"terca-feira";"02:10:00";"SP";101;39,5;"UBATUBA";"Sim";"Ingestao de alcool";1;"Colisao frontal";"Com Vitimas Feridas";"Plena Noite";"Decrescente";"Ceu Claro";"Simples";"Reta";"Sim";324889;"Automóvel";"CITROEN/C3 AIRC TENDANCE";2014;"Passageiro";"Lesoes Leves";24;"Feminino";0;1;0;0;"-23.41331965";"-45.03313065";"SR-SP";"DEL6";"UOP03/SP"
182227;402116;2019-01-01;"terca-feira";"02:30:00";"PR";376;7,5;"MARINGA";"Sim";"Ingestao de alcool";1;"Colisao com objeto estatico";"Com Vitimas Feridas";"Plena Noite";"Decrescente";"Ceu Claro";"Dupla";"Curva";"Nao";324894;"Automóvel";"TOYOTA/ETIOS SD XLS";2013;"Condutor";"Lesoes Leves";27;"Masculino";0;1;0;0;"-23.37199185";"-51.92399383";"SR-PR";"DEL7/7";"UOP04/PR"
182227;402138;2019-01-01;"terca-feira";"02:30:00";"PR";376;7,5;"MARINGA";"Sim";"Ingestao de alcool";1;"Colisao com objeto estatico";"Com Vitimas Feridas";"Plena Noite";"Decrescente";"Ceu Claro";"Dupla";"Curva";"Nao";324894;"Automóvel";"TOYOTA/ETIOS SD XLS";2013;"Passageiro";"Ileso";NA;"Masculino";1;0;0;0;"-23.37199185";"-51.92399383";"SR-PR";"DEL7/7";"UOP04/PR"
182231;402093;2019-01-01;"terca-feira";"02:40:00";"SC";282;599,3;"CUNHA PORA";"Sim";"Ingestao de alcool e/ou substâncias psicoativas pelo pedestre";1;"Colisao com objeto estatico";"Com Vitimas Feridas";"Plena Noite";"Decrescente";"Ceu Claro";"Simples";"Nao Informado";"Nao";324887;"Automóvel";"FORD/FIESTA FLEX";2012;"Condutor";"Lesoes Graves";37;"Masculino";0;0;1;0;"-26.820206";"-53.155052";"SR-SC";"DEL7";"UOP02/SC"
182231;402094;2019-01-01;"terca-feira";"02:40:00";"SC";282;599,3;"CUNHA PORA";"Sim";"Ingestao de alcool e/ou substâncias psicoativas pelo pedestre";1;"Colisao com objeto estatico";"Com Vitimas Feridas";"Plena Noite";"Decrescente";"Ceu Claro";"Simples";"Nao Informado";"Nao";324887;"Automóvel";"FORD/FIESTA FLEX";2012;"Passageiro";"Lesoes Graves";30;"Feminino";0;0;1;0;"-26.820206";"-53.155052";"SR-SC";"DEL7";"UOP02/SC"
182236;402192;2019-01-01;"terca-feira";"03:50:00";"RJ";101;495;"ANGRA DOS REIS";"Sim";"Ingestao de alcool";1;"Colisao frontal";"Com Vitimas Fatais";"Plena Noite";"Crescente";"Ceu Claro";"Simples";"Curva";"Nao";324945;"Motocicleta";"YAMAHA/YBR125 FACTOR K1";2013;"Passageiro";"Óbito";36;"Feminino";0;0;0;1;"-22.93593652";"-44.32202983";"SR-RJ";"DEL5/3";"UOP02/RJ"
182236;402193;2019-01-01;"terca-feira";"03:50:00";"RJ";101;495;"ANGRA DOS REIS";"Sim";"Ingestao de alcool";1;"Colisao frontal";"Com Vitimas Fatais";"Plena Noite";"Crescente";"Ceu Claro";"Simples";"Curva";"Nao";324945;"Motocicleta";"YAMAHA/YBR125 FACTOR K1";2013;"Condutor";"Óbito";29;"Masculino";0;0;0;1;"-22.93593652";"-44.32202983";"SR-RJ";"DEL5/3";"UOP02/RJ"
182236;403883;2019-01-01;"terca-feira";"03:50:00";"RJ";101;495;"ANGRA DOS REIS";"Sim";"Ingestao de alcool";1;"Colisao frontal";"Com Vitimas Fatais";"Plena Noite";"Crescente";"Ceu Claro";"Simples";"Curva";"Nao";324946;"Utilitario";"I/SUZUKI G.VITARA 2WD 5P";2013;"Condutor";"Ileso";47;"Feminino";1;0;0;0;"-22.93593652";"-44.32202983";"SR-RJ";"DEL5/3";"UOP02/RJ"
182237;402136;2019-01-01;"terca-feira";"04:40:00";"MS";163;654,5;"RIO VERDE DE MATO GROSSO";"Sim";"Ingestao de alcool";2;"Tombamento";"Com Vitimas Feridas";"Plena Noite";"Decrescente";"Nevoeiro/Neblina";"Multipla";"Reta";"Nao";324911;"Motocicleta";"HONDA/CG 150 FAN ESI";2010;"Condutor";"Lesoes Graves";26;"Masculino";0;0;1;0;"-19.11526874";"-54.75609633";"SR-MS";"DEL3/6";"UOP02/MS"
